model,video,feature_path,label_path,frames,frame_acc,edit,f1_10,f1_25,f1_50
asformer,20251208_100257.npy,../data/features_enhanced\02spravne\20251208_100257.npy,../data/labels\02spravne\20251208_100257.txt,383,31.33159268929504,11.764705882352944,13.793103448275861,6.896551724137931,0.0
asformer,20251208_100319.npy,../data/features_enhanced\02spravne\20251208_100319.npy,../data/labels\02spravne\20251208_100319.txt,384,29.427083333333332,12.0,14.035087719298245,7.017543859649122,0.0
asformer,20251208_100321 (1).npy,../data/features_enhanced\02spravne\20251208_100321 (1).npy,../data/labels\02spravne\20251208_100321 (1).txt,437,42.5629290617849,12.195121951219512,20.833333333333336,16.666666666666664,8.333333333333332
asformer,20251208_100321.npy,../data/features_enhanced\02spravne\20251208_100321.npy,../data/labels\02spravne\20251208_100321.txt,633,26.856240126382307,11.111111111111116,9.836065573770492,6.557377049180328,3.278688524590164
asformer,20251208_100337.npy,../data/features_enhanced\02spravne\20251208_100337.npy,../data/labels\02spravne\20251208_100337.txt,380,22.105263157894736,9.615384615384615,13.559322033898304,0.0,0.0
asformer,20251208_100348.npy,../data/features_enhanced\02spravne\20251208_100348.npy,../data/labels\02spravne\20251208_100348.txt,423,39.952718676122934,25.0,32.25806451612903,19.35483870967742,12.903225806451612
asformer,20251208_100354.npy,../data/features_enhanced\02spravne\20251208_100354.npy,../data/labels\02spravne\20251208_100354.txt,388,18.298969072164947,15.384615384615385,13.043478260869565,4.3478260869565215,0.0
asformer,20251208_100401.npy,../data/features_enhanced\02spravne\20251208_100401.npy,../data/labels\02spravne\20251208_100401.txt,639,27.386541471048513,11.363636363636365,7.8431372549019605,3.9215686274509802,3.9215686274509802
asformer,20251208_100415.npy,../data/features_enhanced\02spravne\20251208_100415.npy,../data/labels\02spravne\20251208_100415.txt,444,41.66666666666667,15.384615384615385,26.08695652173913,13.043478260869565,8.695652173913043
asformer,20251208_100418.npy,../data/features_enhanced\02spravne\20251208_100418.npy,../data/labels\02spravne\20251208_100418.txt,369,37.669376693766935,17.14285714285714,19.047619047619047,9.523809523809524,0.0
asformer,20251208_100436.npy,../data/features_enhanced\02spravne\20251208_100436.npy,../data/labels\02spravne\20251208_100436.txt,581,24.096385542168676,11.904761904761907,8.16326530612245,4.081632653061225,4.081632653061225
asformer,20251208_100440 (1).npy,../data/features_enhanced\02spravne\20251208_100440 (1).npy,../data/labels\02spravne\20251208_100440 (1).txt,422,35.54502369668246,23.076923076923073,30.303030303030305,18.181818181818183,6.0606060606060606
asformer,20251208_100440.npy,../data/features_enhanced\02spravne\20251208_100440.npy,../data/labels\02spravne\20251208_100440.txt,395,31.39240506329114,9.999999999999998,11.940298507462686,0.0,0.0
asformer,20251208_100458.npy,../data/features_enhanced\02spravne\20251208_100458.npy,../data/labels\02spravne\20251208_100458.txt,649,19.876733436055467,9.259259259259256,6.557377049180328,3.278688524590164,3.278688524590164
asformer,20251208_100508.npy,../data/features_enhanced\02spravne\20251208_100508.npy,../data/labels\02spravne\20251208_100508.txt,437,44.62242562929062,15.625,25.64102564102564,15.384615384615385,10.256410256410255
asformer,20251208_100518.npy,../data/features_enhanced\02spravne\20251208_100518.npy,../data/labels\02spravne\20251208_100518.txt,389,29.048843187660665,13.636363636363635,11.76470588235294,7.8431372549019605,0.0
asformer,20251208_100525.npy,../data/features_enhanced\02spravne\20251208_100525.npy,../data/labels\02spravne\20251208_100525.txt,674,22.997032640949556,11.475409836065575,2.941176470588235,2.941176470588235,2.941176470588235
asformer,20251208_100535.npy,../data/features_enhanced\02spravne\20251208_100535.npy,../data/labels\02spravne\20251208_100535.txt,400,28.499999999999996,14.28571428571429,14.285714285714285,7.142857142857142,0.0
asformer,20251208_100540.npy,../data/features_enhanced\02spravne\20251208_100540.npy,../data/labels\02spravne\20251208_100540.txt,489,47.239263803680984,13.33333333333333,19.230769230769234,11.538461538461538,3.8461538461538463
asformer,20251208_100553.npy,../data/features_enhanced\02spravne\20251208_100553.npy,../data/labels\02spravne\20251208_100553.txt,393,12.213740458015266,13.953488372093027,4.0,0.0,0.0
asformer,20251208_100554.npy,../data/features_enhanced\02spravne\20251208_100554.npy,../data/labels\02spravne\20251208_100554.txt,509,33.20235756385069,12.765957446808507,11.11111111111111,3.7037037037037033,3.7037037037037033
asformer,20251208_100609.npy,../data/features_enhanced\02spravne\20251208_100609.npy,../data/labels\02spravne\20251208_100609.txt,357,26.89075630252101,13.953488372093027,12.0,4.0,0.0
asformer,20251208_100613.npy,../data/features_enhanced\02spravne\20251208_100613.npy,../data/labels\02spravne\20251208_100613.txt,495,39.39393939393939,13.636363636363635,19.607843137254903,3.9215686274509802,3.9215686274509802
asformer,20251208_100614.npy,../data/features_enhanced\02spravne\20251208_100614.npy,../data/labels\02spravne\20251208_100614.txt,533,28.142589118198874,9.999999999999998,7.017543859649122,3.508771929824561,3.508771929824561
asformer,20251208_100640.npy,../data/features_enhanced\02spravne\20251208_100640.npy,../data/labels\02spravne\20251208_100640.txt,452,40.04424778761062,22.22222222222222,29.411764705882355,23.52941176470588,5.88235294117647
asformer,20251208_100644.npy,../data/features_enhanced\02spravne\20251208_100644.npy,../data/labels\02spravne\20251208_100644.txt,603,15.422885572139302,12.82051282051282,4.3478260869565215,4.3478260869565215,4.3478260869565215
asformer,20251208_100705.npy,../data/features_enhanced\02spravne\20251208_100705.npy,../data/labels\02spravne\20251208_100705.txt,467,41.97002141327623,15.000000000000002,17.02127659574468,17.02127659574468,8.51063829787234
asformer,20251208_100706.npy,../data/features_enhanced\02spravne\20251208_100706.npy,../data/labels\02spravne\20251208_100706.txt,608,23.026315789473685,8.823529411764708,5.333333333333334,2.666666666666667,0.0
asformer,20251208_100728.npy,../data/features_enhanced\02spravne\20251208_100728.npy,../data/labels\02spravne\20251208_100728.txt,484,25.413223140495866,15.625,20.51282051282051,5.128205128205128,5.128205128205128
